Comprehensive Processed Phrases - mox_bank_negative_comprehensive_processed_phrases.txt
'please fix this:' (frequency: 3)
'instant loan and' (frequency: 3)
'from mox over' (frequency: 3)
'practices to try' (frequency: 3)
'try get client' (frequency: 3)
'client in trouble' (frequency: 3)
'trouble and pay' (frequency: 3)
'pay fees blocked' (frequency: 3)
', unlawfully deducted' (frequency: 3)
'never heard before' (frequency: 3)
'saving rate promotion' (frequency: 3)
'need to remind' (frequency: 3)
'autopay is set' (frequency: 3)
'offering much better' (frequency: 3)
'plz fix the' (frequency: 3)
'pro with dynamic' (frequency: 3)
'face id auto-disabled' (frequency: 3)
'wait and online' (frequency: 3)
'deals and fooling' (frequency: 3)
'fooling around people' (frequency: 3)
'decrease its perks' (frequency: 3)
'perks through frequent' (frequency: 3)
'frequent t &' (frequency: 3)
'cs only tell' (frequency: 3)
'no timeline when' (frequency: 3)
'they even didn’t' (frequency: 3)
'credit card with' (frequency: 3)
'first and then' (frequency: 3)
'double that after' (frequency: 3)
'after 6 months' (frequency: 3)
'months of hardly' (frequency: 3)
'hardly ever using' (frequency: 3)
'also never asked' (frequency: 3)
'textbook predatory lending' (frequency: 3)
'spend with card' (frequency: 3)
'no one responds' (frequency: 3)
'didn’t add wallet' (frequency: 3)
'support when one' (frequency: 3)
'needed for online' (frequency: 3)
'it still fails' (frequency: 3)
'fails to maintain' (frequency: 3)
'making others failed' (frequency: 3)
'april and there' (frequency: 3)
'purchase, even blocking' (frequency: 3)
'reply at all😅😅i' (frequency: 3)
'all😅😅i thought all' (frequency: 3)
'where go find' (frequency: 3)
'membership, insurance etc' (frequency: 3)
'other competitors like' (frequency: 3)
'go further ahead' (frequency: 3)
'enjoy the 5%' (frequency: 3)
'user-unfriendly to students,' (frequency: 3)
'it’s really hard' (frequency: 3)
'interests, no one' (frequency: 3)
'one is going' (frequency: 3)
'pro max, making' (frequency: 3)
'mins to set' (frequency: 3)
'registered finally because' (frequency: 3)
'purchase online and' (frequency: 3)
'bills by fps' (frequency: 3)
'broken and works' (frequency: 3)
'goes away and' (frequency: 3)
'well-known online shops' (frequency: 3)
'shops and airlines' (frequency: 3)
'airlines as well,' (frequency: 3)
'cards, so clearly' (frequency: 3)
'clearly mox pushed' (frequency: 3)
'pushed to production' (frequency: 3)
'production untested and' (frequency: 3)
'signs of launching' (frequency: 3)
'founding member, and' (frequency: 3)
'getting any notice' (frequency: 3)
'refuse to explain' (frequency: 3)
'first who launched' (frequency: 3)
'launched numberless mastercard' (frequency: 3)
'somlomg to figure' (frequency: 3)
'it keeps telling' (frequency: 3)
'located in location' (frequency: 3)
'reason, no explanation' (frequency: 3)
'need to review' (frequency: 3)
'couple of days,' (frequency: 3)
'rates that pulled' (frequency: 3)
'trick to get' (frequency: 3)
'asked three times' (frequency: 3)
'allow, and repeatedly' (frequency: 3)
'asked to reinstall' (frequency: 3)
'marketing team for' (frequency: 3)
'claim the promotional' (frequency: 3)
'get baited this' (frequency: 3)
'not disclose when' (frequency: 3)
'real rip off' (frequency: 3)
'it feels like' (frequency: 3)
'know in advance' (frequency: 3)
'take selfie always' (frequency: 3)
'says timeout make' (frequency: 3)
'make it globally' (frequency: 3)
'globally for use' (frequency: 3)
'prompt to close' (frequency: 3)
'will go through' (frequency: 3)
'through the second' (frequency: 3)
'connectivity or storage' (frequency: 3)
'recognize selfie and' (frequency: 3)
'customers to uninstall' (frequency: 3)
'15, not able' (frequency: 3)
'connecting bluetooth device' (frequency: 3)
'hear the voice' (frequency: 3)
'voice from speaker,' (frequency: 3)
'mox will keep' (frequency: 3)
'keep the footage' (frequency: 3)
'reaching the team,' (frequency: 3)
'not sufficient without' (frequency: 3)
'advertising sell interest' (frequency: 3)
'baseline interest after' (frequency: 3)
'bonus for keeping' (frequency: 3)
'months then they' (frequency: 3)
'3% interest after' (frequency: 3)
'after a month' (frequency: 3)
'far less than' (frequency: 3)
'recommend to download' (frequency: 3)
'totally regret downloading' (frequency: 3)
'downloading and using' (frequency: 3)
'full of marketing' (frequency: 3)
'been going back' (frequency: 3)
'two weeks now' (frequency: 3)
'credit and why' (frequency: 3)
'reward pay date' (frequency: 3)
'date is due' (frequency: 3)
'as to why' (frequency: 3)
'compatible with google' (frequency: 3)
'while no mirroring' (frequency: 3)
'terrible and unhelpful' (frequency: 3)
'so, not even' (frequency: 3)
'access the fps' (frequency: 3)
'pay a merchant' (frequency: 3)
'merchant in person,' (frequency: 3)
'was extraordinarily difficult' (frequency: 3)
'not sure why' (frequency: 3)
'it keeps saying' (frequency: 3)
'turned on, which' (frequency: 3)
'android anymore who' (frequency: 3)
'android, it completely' (frequency: 3)
'completely not usable' (frequency: 3)
'totally not usable' (frequency: 3)
'daily life without' (frequency: 3)
'far, and support' (frequency: 3)
'way to capture' (frequency: 3)
'capture individual fps' (frequency: 3)
'allow when using' (frequency: 3)
'freezing constantly ever' (frequency: 3)
'use bluetooth earpod,' (frequency: 3)
'fallback, and called' (frequency: 3)
'be used anymore' (frequency: 3)
'promises, misleading promotions,' (frequency: 3)
'seems their policy' (frequency: 3)
'policy is, beyond' (frequency: 3)
'beyond a certain' (frequency: 3)
'(mine was "excellent")' (frequency: 3)
'credit card, which' (frequency: 3)
'put cash into' (frequency: 3)
'sitting there, before' (frequency: 3)
'failed until the' (frequency: 3)
'need to reinstall' (frequency: 3)
'be much better' (frequency: 3)
'overlay of instruction' (frequency: 3)
'disable manual photo' (frequency: 3)
'run on rooted' (frequency: 3)
'asking and why' (frequency: 3)
'hong kong asking' (frequency: 3)
'after upgraded, please' (frequency: 3)
'weeks and counting' (frequency: 3)
'google pay again' (frequency: 3)
'great, but new' (frequency: 3)
'similar note, never' (frequency: 3)
'professional,hard to contact' (frequency: 3)
'this always ask' (frequency: 3)
'ask face recognition' (frequency: 3)
'recognition and still' (frequency: 3)
'reason, without any' (frequency: 3)
'many rewards unable' (frequency: 3)
'share the monthly' (frequency: 3)
'monthly statement cannot' (frequency: 3)
'share statements pretty' (frequency: 3)
'these 5-star ratings' (frequency: 3)
'ratings are paid' (frequency: 3)
'wait days for' (frequency: 3)
'respond - the' (frequency: 3)
'promo rewards are' (frequency: 3)
'hide some conditions' (frequency: 3)
'no real benefit' (frequency: 3)
'using them statement' (frequency: 3)
'download or share' (frequency: 3)
'share please fix' (frequency: 3)
'unable to email' (frequency: 3)
'send a printed' (frequency: 3)
'rude and unhelpful' (frequency: 3)
'voice call for' (frequency: 3)
'support they closed' (frequency: 3)
'code scan and' (frequency: 3)
'care less about' (frequency: 3)
'principal and keep' (frequency: 3)
'charging interest every' (frequency: 3)
'owned by standard' (frequency: 3)
'bills pay, cannot' (frequency: 3)
'done the fps' (frequency: 3)
'4 hours unable' (frequency: 3)
'down for over' (frequency: 3)
'few times now,' (frequency: 3)
'some concert ticket' (frequency: 3)
'keep loading after' (frequency: 3)
'several times until' (frequency: 3)
'credit if over' (frequency: 3)
'courtesy to give' (frequency: 3)
'give a valid' (frequency: 3)
'valid reason for' (frequency: 3)
'just suddenly blockes' (frequency: 3)
'month to unblock' (frequency: 3)
'hong kong too' (frequency: 3)
'already very lucky' (frequency: 3)
'funny reason that' (frequency: 3)
'unable to upfate' (frequency: 3)
'cannot open anything' (frequency: 3)
'order to proceed' (frequency: 3)
'same prompt when' (frequency: 3)
'cannot enter decimal' (frequency: 3)
'taxi (trough uber)' (frequency: 3)
'business owners where' (frequency: 3)
'so amazed when' (frequency: 3)
'card and when' (frequency: 3)
'many times and' (frequency: 3)
'lot of time' (frequency: 3)
'privacy policies and' (frequency: 3)
'practices, one has' (frequency: 3)
'ditch everything and' (frequency: 3)
'moved their asets' (frequency: 3)
'name mox credit' (frequency: 3)
'credit is still' (frequency: 3)
'help except asking' (frequency: 3)
'worst vb experience' (frequency: 3)
'6-digit numeric code' (frequency: 3)
'(not even alpha-numeric)' (frequency: 3)
'large amts with' (frequency: 3)
'trying to sign' (frequency: 3)
'really a streamline' (frequency: 3)
'activate the card' (frequency: 3)
'received the card' (frequency: 3)
'ago, after uploading' (frequency: 3)
'over almost half' (frequency: 3)
'half an hour' (frequency: 3)
'u suck what' (frequency: 3)
'once the best' (frequency: 3)
'bad they lowered' (frequency: 3)
'lowered the interest' (frequency: 3)
'interest rate, left' (frequency: 3)
'choice but moved' (frequency: 3)
'samsung, even cannot' (frequency: 3)
'snapshot of face,' (frequency: 3)
'lg g4 with' (frequency: 3)
'month now, its' (frequency: 3)
'crush when open' (frequency: 3)
'number which unable' (frequency: 3)
'unable to show' (frequency: 3)
'show on hauwei' (frequency: 3)
'time keep exiting' (frequency: 3)
'itself when starting' (frequency: 3)
'shuts down when' (frequency: 3)
'phone with android' (frequency: 3)
'matel card, even' (frequency: 3)
'before it launch' (frequency: 3)
'launch few months' (frequency: 3)
'force closed registered' (frequency: 3)
'registered in june' (frequency: 3)
'june but still' (frequency: 3)
'mox ac through' (frequency: 3)
'balance, but it’s' (frequency: 3)
'difficult to find' (frequency: 3)
'keep saying sorry' (frequency: 3)
'up a rule' (frequency: 3)
'seem to know' (frequency: 3)
'place an online' (frequency: 3)
'asking to verify' (frequency: 3)
'hard to press,' (frequency: 3)
'hard to reach' (frequency: 3)
'positions in stock' (frequency: 3)
'reply of mox' (frequency: 3)
'put a male' (frequency: 3)
'waive a fee' (frequency: 3)
'even a big' (frequency: 3)
'fps to me,' (frequency: 3)
'level of cs,' (frequency: 3)
'offer no help' (frequency: 3)
'set up and' (frequency: 3)
'blocked on 16th,' (frequency: 3)
'how to complaint' (frequency: 3)
'limit at first' (frequency: 3)
'decided to double' (frequency: 3)
'way to reach' (frequency: 3)
'one is needed' (frequency: 3)
'promoted for days' (frequency: 3)
'cannot use the' (frequency: 3)
'back in april' (frequency: 3)
'balance of credit' (frequency: 3)
'works 1 out' (frequency: 3)
'still work well' (frequency: 3)
'as a founding' (frequency: 3)
', why does' (frequency: 3)
'scan a fps' (frequency: 3)
'like a dirty' (frequency: 3)
'way of reaching' (frequency: 3)
'without a proper' (frequency: 3)
'raise the minimum' (frequency: 3)
'investment by another' (frequency: 3)
'keep the 3%' (frequency: 3)
'interest is far' (frequency: 3)
'forth for two' (frequency: 3)
'asking to turn' (frequency: 3)
'tried to access' (frequency: 3)
'able to access' (frequency: 3)
'works on android' (frequency: 3)
'proof to let' (frequency: 3)
'usable in daily' (frequency: 3)
'need to avoid' (frequency: 3)
'pixel 7 pro' (frequency: 3)
'unable to share' (frequency: 3)
'- at various' (frequency: 3)
'benefit to using' (frequency: 3)
'get a voice' (frequency: 3)
'use is mox' (frequency: 3)
'pay in advance' (frequency: 3)
'difficult to call' (frequency: 3)
'call them &' (frequency: 3)
'out of hong' (frequency: 3)
'night on 11th' (frequency: 3)
'access to literally' (frequency: 3)
'keep on pending' (frequency: 3)
'due to privacy' (frequency: 3)
'hey not before' (frequency: 3)
'asets to another' (frequency: 3)
'entity or name' (frequency: 3)
'card a month' (frequency: 3)
'5 days and' (frequency: 3)
'hk, too bad' (frequency: 3)
'pay is fine' (frequency: 3)
'support for smart' (frequency: 3)
'batch of chosen' (frequency: 3)
'getting a matel' (frequency: 3)
'one of the worst' (frequency: 2)
'not user friendly' (frequency: 2)
'Misleading, please follow up seriously.' (frequency: 2)
'connect to customer' (frequency: 2)
'call does not support users simultaneously opening for concert purchases' (frequency: 2)
'of mirror all the damn tickets flew away before getting in' (frequency: 2)
'When will there be cardless withdrawals during' (frequency: 2)
'bad experience, very' (frequency: 2)
'try again later' (frequency: 2)
'understand how much' (frequency: 2)
'intentionally not made' (frequency: 2)
'it’s intentionally not' (frequency: 2)
'high interest credit' (frequency: 2)
'auto pay the' (frequency: 2)
'organized around forcing' (frequency: 2)
'scam organized around' (frequency: 2)
'between statement balance' (frequency: 2)
'can never place' (frequency: 2)
'online order when' (frequency: 2)
'were totally unhelpful' (frequency: 2)
'always broke down,' (frequency: 2)
'do video call' (frequency: 2)
'no customer support' (frequency: 2)
'selling the thing' (frequency: 2)
'delayed in reply' (frequency: 2)
'not replying immediately' (frequency: 2)
'corner icons cannot' (frequency: 2)
'developers of mox' (frequency: 2)
', extremely hard' (frequency: 2)
'have open positions' (frequency: 2)
'hey let’s verify' (frequency: 2)
'number again because' (frequency: 2)
'is inaccurate, sometimes' (frequency: 2)
'inaccurate, sometimes they' (frequency: 2)
'there’s no phone' (frequency: 2)
'would answer something' (frequency: 2)
'ticket again 3/' (frequency: 2)
'promotional tactic from' (frequency: 2)
'help and rude' (frequency: 2)
'mox care sucks big time' (frequency: 2)
'hong kong lol' (frequency: 2)
'repaid monthly, still' (frequency: 2)
'bad,not care customer' (frequency: 2)
'reason, even after' (frequency: 2)
'bad experience, rubbish' (frequency: 2)
'will never recommend' (frequency: 2)
'never recommend and' (frequency: 2)
'getting mox credit' (frequency: 2)
'Reward has expression' (frequency: 2)
'them through hotline' (frequency: 2)
'through hotline but' (frequency: 2)
'month, they lend' (frequency: 2)
'never experience that' (frequency: 2)
'cs, bad attitude,' (frequency: 2)
'you’re using this' (frequency: 2)
'is absolutely terrible,' (frequency: 2)
'absolutely terrible, they' (frequency: 2)
'terrible, they offer' (frequency: 2)
'support is rubbish' (frequency: 2)
'loan and tried' (frequency: 2)
'any timeline given' (frequency: 2)
't understand why' (frequency: 2)
'deposit and close' (frequency: 2)
'prevent similar event' (frequency: 2)
'that mis-calculates new' (frequency: 2)
'new fund deposit' (frequency: 2)
'not even worth' (frequency: 2)
'better interest rates' (frequency: 2)
'through the selfie' (frequency: 2)
'id auto-disabled -' (frequency: 2)
'useless no deals' (frequency: 2)
'still under investigation' (frequency: 2)
'under investigation but' (frequency: 2)
'even didn’t reply' (frequency: 2)
'hotline always busy' (frequency: 2)
'anyone know how' (frequency: 2)
'any income proof' (frequency: 2)
'is textbook predatory' (frequency: 2)
'predatory lending and' (frequency: 2)
'want no part' (frequency: 2)
'as entering the' (frequency: 2)
'all, making others' (frequency: 2)
'scammed online purchase,' (frequency: 2)
'btw, the online' (frequency: 2)
'thought all online' (frequency: 2)
'online cs especially' (frequency: 2)
'as loan, membership,' (frequency: 2)
'loan, membership, insurance' (frequency: 2)
'as other competitors' (frequency: 2)
'things never lasted' (frequency: 2)
'that’s so user-unfriendly' (frequency: 2)
'really hard for' (frequency: 2)
'asked to delete' (frequency: 2)
'expend 5 mins' (frequency: 2)
'online and bind' (frequency: 2)
'cannot pay bills' (frequency: 2)
'fps — online' (frequency: 2)
'make things hard' (frequency: 2)
'still not getting' (frequency: 2)
'numberless mastercard but' (frequency: 2)
'never reminds customer' (frequency: 2)
'reminds customer that' (frequency: 2)
'customer that need' (frequency: 2)
'got overcharged for' (frequency: 2)
'figure out things' (frequency: 2)
'no internet connection' (frequency: 2)
'fps qr code' (frequency: 2)
'merchant before the' (frequency: 2)
'nowadays business can' (frequency: 2)
'beginning then they' (frequency: 2)
't have bothered' (frequency: 2)
'three times for' (frequency: 2)
'only after reinstalling' (frequency: 2)
'product or marketing' (frequency: 2)
'reason just after' (frequency: 2)
'before their "review"' (frequency: 2)
'unreasonable fee charges' (frequency: 2)
'fee charges that' (frequency: 2)
've never heard' (frequency: 2)
'in, keep ringing' (frequency: 2)
'without any assistance' (frequency: 2)
'advance if the' (frequency: 2)
'wait after the' (frequency: 2)
'after the fingerprint' (frequency: 2)
'after fps, cannot' (frequency: 2)
'cap promotion, cannot' (frequency: 2)
'absolutely misleading advertising' (frequency: 2)
'sell interest rate' (frequency: 2)
'is 3% baseline' (frequency: 2)
'3% baseline interest' (frequency: 2)
'interest after investing' (frequency: 2)
'2% bonus for' (frequency: 2)
'experience in using' (frequency: 2)
'marketing content and' (frequency: 2)
'reactivated, already missed' (frequency: 2)
'already missed one' (frequency: 2)
't acknowledge receipts' (frequency: 2)
'acknowledge receipts and' (frequency: 2)
'work, asks for' (frequency: 2)
'go through mox' (frequency: 2)
'turn off mirroring' (frequency: 2)
'need to share' (frequency: 2)
'personal contacts with' (frequency: 2)
'contacts with mox' (frequency: 2)
'unhelpful customer support' (frequency: 2)
'ref numbers edit:' (frequency: 2)
'was prioritised after' (frequency: 2)
'prioritised after recent' (frequency: 2)
'mirroring enabled, but' (frequency: 2)
'sometimes it says' (frequency: 2)
'are extremely annoying' (frequency: 2)
'let somebody knows' (frequency: 2)
't know how' (frequency: 2)
'definitely the best' (frequency: 2)
'blocked, really annoying' (frequency: 2)
'edit2: no way' (frequency: 2)
'"trust based", need' (frequency: 2)
'been freezing constantly' (frequency: 2)
'allowed" when this' (frequency: 2)
'as it claims' (frequency: 2)
'using a mirroring' (frequency: 2)
'pro at all,' (frequency: 2)
'not casting anything' (frequency: 2)
'locked cannot open' (frequency: 2)
'mirror not allowed"' (frequency: 2)
'was virtually locked' (frequency: 2)
'false promises, misleading' (frequency: 2)
'misleading promotions, and' (frequency: 2)
'there, before making' (frequency: 2)
'is failed until' (frequency: 2)
'u have below:' (frequency: 2)
'manual photo for' (frequency: 2)
'user friendly pathetic' (frequency: 2)
'no further explanation' (frequency: 2)
'18 asking and' (frequency: 2)
'upgraded, please fix' (frequency: 2)
'get to proceed' (frequency: 2)
'again once removed' (frequency: 2)
'new cross border' (frequency: 2)
'note, never received' (frequency: 2)
'cs not professional,hard' (frequency: 2)
'card was lost' (frequency: 2)
'interest it marketed' (frequency: 2)
'still failed customer' (frequency: 2)
'use anymore not' (frequency: 2)
'no reason, without' (frequency: 2)
'get many rewards' (frequency: 2)
'they deliberately hide' (frequency: 2)
'will earn something' (frequency: 2)
'various times, had' (frequency: 2)
'support are unable' (frequency: 2)
'try to get' (frequency: 2)
't provide explanation' (frequency: 2)
'scan and pay' (frequency: 2)
'pay is unavailable' (frequency: 2)
'unlocking oem bootloader' (frequency: 2)
'mox care person' (frequency: 2)
'cannot proceed due' (frequency: 2)
'settle the principal' (frequency: 2)
'keep charging interest' (frequency: 2)
'pay, cannot schedule' (frequency: 2)
'cannot schedule pay' (frequency: 2)
'activated poor chat' (frequency: 2)
'no reply after' (frequency: 2)
'next time give' (frequency: 2)
'total bad experience' (frequency: 2)
'bad experience with' (frequency: 2)
'times now, when' (frequency: 2)
't work when' (frequency: 2)
'worse than useless' (frequency: 2)
'almost everytime and' (frequency: 2)
'try several times' (frequency: 2)
'atm card without' (frequency: 2)
'haist card blocked' (frequency: 2)
'card blocked for' (frequency: 2)
'cannot open now' (frequency: 2)
'did, but nothing' (frequency: 2)
't have access' (frequency: 2)
'enter decimal place' (frequency: 2)
'so, from now' (frequency: 2)
'ask business owners' (frequency: 2)
'owners where they' (frequency: 2)
'charge cross border' (frequency: 2)
'finally verify after' (frequency: 2)
't work again' (frequency: 2)
'want use but' (frequency: 2)
'times they block' (frequency: 2)
'reason and when' (frequency: 2)
'say business consideration' (frequency: 2)
'pending until now' (frequency: 2)
'policies and practices,' (frequency: 2)
'4th party companies' (frequency: 2)
'party companies and' (frequency: 2)
'contacted support but' (frequency: 2)
'experience 2 months' (frequency: 2)
'2 months and' (frequency: 2)
'still keep receiving' (frequency: 2)
'receiving mail before' (frequency: 2)
'hrs ago, after' (frequency: 2)
'after uploading the' (frequency: 2)
'face recognition, the' (frequency: 2)
'id scan forget' (frequency: 2)
'super user friendly' (frequency: 2)
'no tactivated till' (frequency: 2)
'trying to install' (frequency: 2)
'is inconvenient stupid' (frequency: 2)
'keep taking snapshot' (frequency: 2)
'*edit: not sure' (frequency: 2)
'smart octopus yet' (frequency: 2)
'upon opening with' (frequency: 2)
'installed and created' (frequency: 2)
'hauwei phone ocr' (frequency: 2)
't work, fails' (frequency: 2)
'(mi 5s), android' (frequency: 2)
'advice please, thanks' (frequency: 2)
'3 seconds upon' (frequency: 2)
'seconds upon opening' (frequency: 2)
'windows always pop' (frequency: 2)
'are talking about' (frequency: 2)
'balance to zero' (frequency: 2)
'about feels like' (frequency: 2)
'owe and get' (frequency: 2)
'be using mox' (frequency: 2)
'totally unhelpful and' (frequency: 2)
'android機就可以 super unhelpful' (frequency: 2)
'still not working,' (frequency: 2)
'1 week and' (frequency: 2)
'unlock so annoying！' (frequency: 2)
'so annoying！ selfie' (frequency: 2)
'selfie just won’t' (frequency: 2)
'just won’t work' (frequency: 2)
'cs and technical' (frequency: 2)
'think twice before' (frequency: 2)
'twice before using' (frequency: 2)
'please upgrade and' (frequency: 2)
'upgrade and tackle' (frequency: 2)
'days back 2/' (frequency: 2)
'get a chat' (frequency: 2)
'progress and release,' (frequency: 2)
'tactic from this' (frequency: 2)
'from this company' (frequency: 2)
'home address but' (frequency: 2)
'address but never' (frequency: 2)
'point up the' (frequency: 2)
'after 20 days' (frequency: 2)
'20 days been' (frequency: 2)
'talk cs many' (frequency: 2)
'cs many time' (frequency: 2)
'time and still' (frequency: 2)
'bill every month,' (frequency: 2)
'missed a single' (frequency: 2)
'other local credit' (frequency: 2)
'monthly, still dont' (frequency: 2)
'oral paper from' (frequency: 2)
'from excise and' (frequency: 2)
'it’s funny how' (frequency: 2)
'no reason, even' (frequency: 2)
'be saving here' (frequency: 2)
'without reason, and' (frequency: 2)
'fps was never' (frequency: 2)
'was never mox,' (frequency: 2)
'never mox, when' (frequency: 2)
'time delays are' (frequency: 2)
'delays are long' (frequency: 2)
'New funds reward' (frequency: 2)
'they cant even' (frequency: 2)
'cant even stop' (frequency: 2)
'scam, if they' (frequency: 2)
'no, they make' (frequency: 2)
'try to contact' (frequency: 2)
'after 1 month,' (frequency: 2)
'like a rat' (frequency: 2)
'Worst of the worst the' (frequency: 2)
'after calling them' (frequency: 2)
'calling them several' (frequency: 2)
'them several times,' (frequency: 2)
'several times, each' (frequency: 2)
'use it please' (frequency: 2)
'took an instant' (frequency: 2)
'deposit … never' (frequency: 2)
'mis-calculates new fund' (frequency: 2)
'fund deposit and' (frequency: 2)
'deposit and saving' (frequency: 2)
'promotion is never' (frequency: 2)
'is never realized' (frequency: 2)
'worth a star' (frequency: 2)
'- plz fix' (frequency: 2)
'iphone 14 pro' (frequency: 2)
'14 pro with' (frequency: 2)
'hotline always need' (frequency: 2)
'always need long' (frequency: 2)
'As above -' (frequency: 2)
'around people mox' (frequency: 2)
'within a single' (frequency: 2)
'2022 without any' (frequency: 2)
'never asked for' (frequency: 2)
'chat, nor phone' (frequency: 2)
'who didn’t add' (frequency: 2)
'wallet to phone' (frequency: 2)
'failed to support' (frequency: 2)
'yet it still' (frequency: 2)
'traffic at all,' (frequency: 2)
'server down and' (frequency: 2)
'down and can’t' (frequency: 2)
'Not replying to chat/call, crazy' (frequency: 2)
'sms, or email' (frequency: 2)
'online cs chat' (frequency: 2)
'without any reason' (frequency: 2)
'staff impolite and' (frequency: 2)
'close to none' (frequency: 2)
'never lasted and' (frequency: 2)
'card arrived and' (frequency: 2)
'hard to tap' (frequency: 2)
'set up the' (frequency: 2)
'tried to purchase' (frequency: 2)
'other 4 times' (frequency: 2)
'popup never goes' (frequency: 2)
'away and “i' (frequency: 2)
'as well, and' (frequency: 2)
'they still work' (frequency: 2)
'untested and broken' (frequency: 2)
'even find that' (frequency: 2)
'been solved ,' (frequency: 2)
'solved , why' (frequency: 2)
'even copy the' (frequency: 2)
'copy the reference' (frequency: 2)
'not secured virtual' (frequency: 2)
'know the financial' (frequency: 2)
'then weeks, then' (frequency: 2)
'then a month' (frequency: 2)
'lasted 3 months' (frequency: 2)
'team for poor' (frequency: 2)
'make a single' (frequency: 2)
'rip off would' (frequency: 2)
'keep ringing for' (frequency: 2)
'selfie always says' (frequency: 2)
'android 15 la,' (frequency: 2)
'la, how did' (frequency: 2)
'start the whole' (frequency: 2)
'bluetooth device the' (frequency: 2)
'device the video' (frequency: 2)
'call to identity' (frequency: 2)
'know if mox' (frequency: 2)
'will never use' (frequency: 2)
'never use them' (frequency: 2)
'as the email' (frequency: 2)
'4 months then' (frequency: 2)
'hkd to keep' (frequency: 2)
't work all' (frequency: 2)
'going back and' (frequency: 2)
'back and forth' (frequency: 2)
'receipts and keep' (frequency: 2)
'sent it twice' (frequency: 2)
'top up -' (frequency: 2)
'up - how' (frequency: 2)
'pixel 6 os,' (frequency: 2)
'6 os, disturbing' (frequency: 2)
't ever have' (frequency: 2)
'keep on saying' (frequency: 2)
'fps qr scanner' (frequency: 2)
'user - not' (frequency: 2)
'- not sure' (frequency: 2)
'sure why this' (frequency: 2)
't been able' (frequency: 2)
's so common' (frequency: 2)
'constantly ever since' (frequency: 2)
'cannot even use' (frequency: 2)
'earpod, it said' (frequency: 2)
'details to receive' (frequency: 2)
'need to put' (frequency: 2)
'cannot be used' (frequency: 2)
'anymore in latest' (frequency: 2)
'age no matter' (frequency: 2)
'no matter how' (frequency: 2)
'refuse to give' (frequency: 2)
